type,long_name,medium,short,scope,activist
Constituency,HRC250Under 856-857,HRC250Und,HRC,Private,False
Constituency,HRC251to499 856-857,HRC251to4,HRC,Private,False
Constituency,January 2,January 2,Jan,Private,False
Constituency,January 3,January 3,Jan,Private,False
Constituency,January 4,January 4,Jan,Private,False
Constituency,January1,January1,Jan,Private,False
Constituency,JointActionReproRite,JointActi,Joi,Private,False
Constituency,Judy Stahl,Judy Stah,Jud,Private,False
Constituency,Juneteenth  2021 new,Juneteent,Jun,Private,False
Constituency,K Engel,K Engel,K E,Private,False
Constituency,KHobbs20210514,KHobbs202,KHo,Private,False
Constituency,Kirkpatrick 12-2019,Kirkpatri,Kir,Private,False
Constituency,Kristel,Kristel,Kri,Private,False
Constituency,LAlvarez,LAlvarez,LAl,Private,False
Constituency,LaurenKuby,LaurenKub,Lau,Private,False
Constituency,New FB names,New FB na,New,Private,False
Constituency,PC 9-30-13,PC 9-30-1,PC,Private,False
Constituency,Pima Co PC 20171001,Pima Co P,Pim,Private,False
Constituency,PP donor in NGP,PP donor,PP,Private,False
Constituency,PP donors new folks,PP donors,PP,Private,False
Constituency,RCDonor,RCDonor,RCD,Private,False
Constituency,RecruitWomen,RecruitWo,Rec,Private,False
Constituency,RGdonor,RGdonor,RGd,Private,False
Constituency,Rotellini,Rotellini,Rot,Private,False
Constituency,Run for Something,Run for S,Run,Private,False
Constituency,Saguaro Import 2,Saguaro I,Sag,Private,False
Constituency,Saguaroupload1,Saguaroup,Sag,Private,False
Donor,17MatchDonors,17MatchDo,17M,Private,False
Donor,18MatchDonor,18MatchDo,18M,Private,False
Donor,19LCPin,19LCPin,19L,Private,False
Donor,19MatchDonor,19MatchDo,19M,Private,False
Donor,2015 Match,2015 Matc,201,Private,False
Donor,2024MatchDonor,24Match,24M,Public,False
Donor,20LCPin,20LCPin,20L,Private,False
Donor,21SDPin,21SDPin,21S,Private,False
Donor,AAADonor,AAADonor,139,Public,False
Donor,AAADonorAZ50+,AAAAZ50+,50+,Public,False
Donor,AAADonorAZLow,AAAAZLow,AZL,Public,False
Donor,AAADonorUS100+,AAAUS100+,10+,Public,False
Donor,AAADonorUSLow,USLow,Low,Public,False
Donor,Major Donor Prospect,MjrDnr,MD,Public,False
Email Interests,All emails,Allemails,All,Private,False
Email Interests,Once a month,Oncemonth,1mt,Private,False
Email Interests,Urgent Action Only,Urgentonl,Urj,Private,False
Events,14Movie,14Movie,14M,Private,False
Events,16 Phoenix Reception,16 Phoeni,16,Private,False
Events,16SADonor,16SADonor,16S,Private,False
Events,16TucsonLunch,16TucsonL,16T,Private,False
Events,18PrideEvent,18PrideEv,18P,Private,False
Events,2017AnnualEvent,2017Annua,201,Private,False
Events,2018AnnualEvent,2018Annua,201,Private,False
Events,2019AnnualEvent,2019Annua,201,Private,False
Events,2020AnnualEvent,2020Annua,202,Private,False
Events,21Annual Event,21Annual,21A,Private,False
Events,23FlagstaffTBD,23Flagsta,23F,Public,False
Events,23Harkins,23Harkins,23H,Public,False
Events,23Loft,23Loft,23L,Public,False
Events,23Virtual,23Virtual,23V,Public,False
Events,24 April Live,24AprilL,ApL,Public,True
Events,24 April Zoom,24AprilZ,ApZ,Public,True
Events,24Bus,24Bus,24B,Public,True
Events,24MayesLive,24Mayes,KML,Public,False
Events,24MayesZoom,24Mayes,24M,Public,False
Events,24NotAttending,24NotAtt,24N,Public,False
Events,24Online,24Online,24O,Public,False
Events,24Phoenix,24Phoenix,24P,Public,False
Events,24Tucson,24Tucson,24T,Public,False
Events,25 Flagstaff Watch,25FlagWat,25F,Public,False
Events,25 Phoenix VIP,25PhxVIP,25V,Public,False
Events,25 Yuma Watch,25YumaWat,25Y,Public,False
Events,25MayesApril,25Mayes,25M,Public,False
Events,25NotAttendingTucson,25NotTuc,25N,Public,False
Events,25NotAttendPhoenix,25NotAttP,25n,Public,False
Events,25Online,25On,25O,Public,False
Events,25Phoenix,25Phx,25P,Public,False
Events,25Tucson,25Tuc,25T,Public,False
Events,25TucsonVIP,25TucVIP,25V,Public,False
Events,Harkins - Camelview,Camelview,Cam,Public,False
Events,Movie2011,Movie2011,Mov,Private,False
Events,PhoenixMarch20220514,PhxMrch22,PM2,Public,True
Events,shAbrams,shAbrams,shA,Public,False
Events,shWeingarten,shWein,shW,Public,False
Events,The Loft Cinema,The Loft,Lof,Public,False
NGP 7,NCOA_2015-10-26,NCOA_2015,NCO,Private,False
NGP 7,NCOAUp2,NCOAUp2,NCO,Private,False
NGP 7,NCOAUpdate,NCOAUpdat,NCO,Private,False
NGP 7,NGP Delete,NGP Delet,NGP,Private,False
NGP 7,NGPClPhone,NGPClPhon,NGP,Private,False
NGP 7,NGPDDCmbnd,NGPDDCmbn,NGP,Private,False
NGP 7,NGPHmPhone,NGPHmPhon,NGP,Private,False
NGP 7,NGPHoushld,NGPHoushl,NGP,Private,False
NGP 7,NGP-PrimarytoGeneral,NGP-Prima,NGP,Private,False
Organization,Maricopa Comm Counci,MCC,MCC,Public,True
Profession,AZEL,AZEL,AZE,Private,False
Profession,AZLB,AZLB,AZL,Private,False
Profession,BFS,BFS,BFS,Private,False
Profession,BUS,BUS,BUS,Private,False
Profession,COM,COM,COM,Private,False
Profession,Corp,Corp,Cor,Private,False
Profession,CU,CU,CU,Private,False
Profession,DEF,DEF,DEF,Private,False
Profession,EDU,EDU,EDU,Private,False
Profession,ELAZ,ELAZ,ELA,Private,False
Profession,Elected Official,Elected O,Ele,Private,False
Profession,ENV,ENV,ENV,Private,False
Profession,HEA,HEA,HEA,Private,False
Profession,HOUS,HOUS,HOU,Private,False
Profession,INS,INS,INS,Private,False
Profession,LAB,LAB,LAB,Private,False
Profession,LAW,LAW,LAW,Private,False
Profession,RE,RE,RE,Private,False
Profession,SCI,SCI,SCI,Private,False
Profession,SOL,SOL,SOL,Private,False
Profession,SS,SS,SS,Private,False
Profession,Tribe,Tribe,Tri,Private,False
Profession,UNYN,UNYN,UNY,Private,False
Volunteer,2020Volunteer,2020Volun,202,Private,False
Volunteer,22PledgetoVote,22PVote,PV,Public,True
Volunteer,AAA Notary,AAA Notar,Not,Public,True
Volunteer,Candidate,Cand,Can,Public,True
Volunteer,Candidate Volunteer,CanVol,CV,Public,False
Volunteer,Collect signatures,Collect s,Col,Public,True
Volunteer,Data Entry,DatEnt,DE,Public,False
Volunteer,Email Signup,EmailSign,Eml,Public,False
Volunteer,EventSupport,EventSupp,Eve,Public,True
Volunteer,General Volunteer,GenVol,Gen,Public,True
Volunteer,Hosted,Hosted,Hos,Public,True
Volunteer,HouseParty,HousePart,Hou,Public,True
Volunteer,Mailings Postcards,mail/post,MlP,Public,True
Volunteer,Office Volunteer,offvol,ov,Public,False
Volunteer,Phonebank,Phonebank,Pho,Public,True
Volunteer,Recruit new members,RecMember,RcM,Public,True
Volunteer,VolCoordinator,VolCoordi,Vol,Public,True
Volunteer,VolFundraising,VolFundra,Vol,Public,True
Volunteer,VolOfficeAsst,VolOffice,Vol,Public,True
Volunteer,VolResearch,VolResear,Vol,Public,True
Volunteer,Walk,Walk,Wal,Public,True
Volunteer,Web work,Web work,Web,Public,True
Volunteer,Weekday,wkday,wkd,Public,True
Volunteer,Weekends,Wkend,WkE,Public,True
Volunteer,Weeknight,Wknight,Wnt,Public,True
