id,path,name,created_by,date_created,description
1037068,Gift/2023Gift,2023Gift,"Quinn, L",2022-12-12,"""membership"" purchased by someone else - needs to be called in 1 year for ""renewal"" mark for follow-up call in 1 year"
1021260,Hildy target,Hildy target,"Cann, D",2021-10-27,
1021442,Hosted,Hosted,"Cann, D",2021-10-27,Hosted a house party
1021351,Industry,Industry,"Cann, D",2021-10-27,Industry Codes
1021352,Industry/AZEL,AZEL,"Cann, D",2021-10-27,Arizona Elected Official
1021353,Industry/AZLB,AZLB,"Cann, D",2021-10-27,Arizona Lobbyist
1021354,Industry/BFS,BFS,"Cann, D",2021-10-27,Industry Code - BFS
1021355,Industry/BUS,BUS,"Cann, D",2021-10-27,Business
1021356,Industry/COM,COM,"Cann, D",2021-10-27,Communication
1021357,Industry/CU,CU,"Cann, D",2021-10-27,Industry Code - CU
1021358,Industry/DEF,DEF,"Cann, D",2021-10-27,Defense
1021359,Industry/EDU,EDU,"Cann, D",2021-10-27,Education
1021279,Industry/EDU/EDU,EDU,"Cann, D",2021-10-27,education supporters
1021360,Industry/ELAZ,ELAZ,"Cann, D",2021-10-27,Elected Official AZ
1021361,Industry/ENV,ENV,"Cann, D",2021-10-27,Environment
1021363,Industry/FDLB,FDLB,"Cann, D",2021-10-27,Federal Lobbyist
1021364,Industry/HC,HC,"Cann, D",2021-10-27,Healthcare
1021365,Industry/HEA,HEA,"Cann, D",2021-10-27,Health
1021366,Industry/HOUS,HOUS,"Cann, D",2021-10-27,Industry Code - HOUS
1021367,Industry/INS,INS,"Cann, D",2021-10-27,Industry Code - INS
1021368,Industry/LAB,LAB,"Cann, D",2021-10-27,Labor
1021369,Industry/LAW,LAW,"Cann, D",2021-10-27,Law Industry
1021370,Industry/RE,RE,"Cann, D",2021-10-27,Real Estate
1021371,Industry/SCI,SCI,"Cann, D",2021-10-27,Science
1021372,Industry/SOL,SOL,"Cann, D",2021-10-27,Solar
1021373,Industry/SS,SS,"Cann, D",2021-10-27,Social Services
1021213,Industry/Student,Student,"Cann, D",2021-10-27,
1021374,Industry/Tech,Tech,"Cann, D",2021-10-27,Technology
1021375,Industry/UNYN,UNYN,"Cann, D",2021-10-27,Union
1021419,Intern,Intern,"Cann, D",2021-10-27,Current interns
1021242,Intro email 20210514,Intro email 20210514,"Cann, D",2021-10-27,
1021403,Lists,Lists,"Cann, D",2021-10-27,
1021408,Lists/16MandateEmails,16MandateEmails,"Cann, D",2021-10-27,Email address sent to Mandate Media 7-7-16
1021417,Lists/16MandateEmails/16AZWomenSigners,16AZWomenSigners,"Cann, D",2021-10-27,AZ Women petition signers from Mandate Media
1021416,Lists/16MandateEmails/16HillarySigners,16HillarySigners,"Cann, D",2021-10-27,Hillary petition signers from Mandate Media
1021413,Lists/16MandateEmails/16VoteRightsSigners,16VoteRightsSigners,"Cann, D",2021-10-27,2016 Voting Rights Petition by Mandate Media through 10-18-16
1021412,Lists/16MandateEmails/2016ChoiceSigners,2016ChoiceSigners,"Cann, D",2021-10-27,2016 Mandate Media Choice Petition Signers
1021415,Lists/16MandateEmails/Demsdotcom,Demsdotcom,"Cann, D",2021-10-27,List from Mandate Media of Dems.com email addresses
1021420,Lists/16MandateEmails/RecruitWomen,RecruitWomen,"Cann, D",2021-10-27,petition signers
1021184,Lists/17MatchDonors,17MatchDonors,"Cann, D",2021-10-27,
1021450,Lists/18MarchforOurLives,18MarchforOurLives,"Cann, D",2021-10-27,
1021183,Lists/18MatchDonor,18MatchDonor,"Cann, D",2021-10-27,
1021451,Lists/18PrideEvent,18PrideEvent,"Cann, D",2021-10-27,
1021181,Lists/19LCPin,19LCPin,"Cann, D",2021-10-27,Code for LC Thank yous with pins for 2019
1021182,Lists/19MatchDonor,19MatchDonor,"Cann, D",2021-10-27,
1021203,Lists/19SenttoKirkpatrick,19SenttoKirkpatrick,"Cann, D",2021-10-27,
1021220,Lists/2015 Lapsed,2015 Lapsed,"Cann, D",2021-10-27,
1021411,Lists/2016 Canvassers,2016 Canvassers,"Cann, D",2021-10-27,
1021221,Lists/2016 LAPSED,2016 LAPSED,"Cann, D",2021-10-27,
1021222,Lists/2017 LAPSED,2017 LAPSED,"Cann, D",2021-10-27,
1021223,Lists/2018 LAPSED,2018 LAPSED,"Cann, D",2021-10-27,
1021443,Lists/2018 Womens March,2018 Womens March,"Cann, D",2021-10-27,
1021224,Lists/2019 LAPSED,2019 LAPSED,"Cann, D",2021-10-27,
1021458,Lists/2019PhxWomensMarch,2019PhxWomensMarch,"Cann, D",2021-10-27,
1021459,Lists/2019TucWomensMarch,2019TucWomensMarch,"Cann, D",2021-10-27,
1021218,Lists/20200513PamLCLetter,20200513PamLCLetter,"Cann, D",2021-10-27,
1038847,Lists/2023MatchDonor,2023MatchDonor,"Quinn, L",2023-08-21,
1021234,Lists/20FallTarget,20FallTarget,"Cann, D",2021-10-27,high dollar donors from Pam G
1021216,Lists/20LCPin,20LCPin,"Cann, D",2021-10-27,20 LC Pin to mail as of 3-18-2020
1021231,Lists/7-23-20 match mailin,7-23-20 match mailin,"Cann, D",2021-10-27,2020 match mailing list probable
1021217,Lists/Apr-Dec2020RenewLtr,Apr-Dec2020RenewLtr,"Cann, D",2021-10-27,received Apr - Dec 2020 Renewal Letter
1021449,Lists/AZ 2018 Big Donors,AZ 2018 Big Donors,"Cann, D",2021-10-27,
1021256,Lists/Carrie Aaron target,Carrie Aaron target,"Cann, D",2021-10-27,Carrie soliciting membership
1021195,Lists/CathyList9-19,CathyList9-19,"Cann, D",2021-10-27,
1021406,Lists/CD 2 PCs 20160413,CD 2 PCs 20160413,"Cann, D",2021-10-27,
1021405,Lists/CD1PC20160412,CD1PC20160412,"Cann, D",2021-10-27,CD 1 PC's imported 4-12-16
1021261,Lists/DevinG,DevinG,"Cann, D",2021-10-27,List from Devin 10-27-11
1021269,Lists/DevinH,DevinH,"Cann, D",2021-10-27,List 2 from Devin 10-28-11
1021440,Lists/EList 2016,EList 2016,"Cann, D",2021-10-27,
1021430,Lists/EList2018,EList2018,"Cann, D",2021-10-27,2018 E List donors
1021237,Lists/Engel,Engel,"Cann, D",2021-10-27,44320
1021249,Lists/Engel 2021,Engel 2021,"Cann, D",2021-10-27,
1021204,Lists/FB11-19to12-16-19,FB11-19to12-16-19,"Cann, D",2021-10-27,"clicked FB ad that said ""want to help pro-choice women get elected"
1021246,Lists/Friese,Friese,"Cann, D",2021-10-27,
1021275,Lists/GGdonor,GGdonor,"Cann, D",2021-10-27,Giffords donor
1021305,Lists/GregStantn,GregStantn,"Cann, D",2021-10-27,Women for Greg Stanton emails 9-14-11
1021301,Lists/HMacrelist,HMacrelist,"Cann, D",2021-10-27,Heather Macre email addresses
1031893,Lists/Hobbs2022,Hobbs2022,"Quinn, L",2022-06-08,Hobbs donors uploaded on 20220607
1021436,Lists/HRC 500-999 856-857,HRC 500-999 856-857,"Cann, D",2021-10-27,
1021448,Lists/HRC EList or PP,HRC EList or PP,"Cann, D",2021-10-27,$250+ HRC
1021434,Lists/HRC1000plus 856-857,HRC1000plus 856-857,"Cann, D",2021-10-27,
1021438,Lists/HRC1000up not856-857,HRC1000up not856-857,"Cann, D",2021-10-27,HRC AZ 1000+ donor all AZ except 856-857
1021437,Lists/HRC250Under 856-857,HRC250Under 856-857,"Cann, D",2021-10-27,
1021435,Lists/HRC251to499 856-857,HRC251to499 856-857,"Cann, D",2021-10-27,
1021199,Lists/January 2,46024,"Cann, D",2021-10-27,
1021200,Lists/January 3,46025,"Cann, D",2021-10-27,
1021201,Lists/January 4,46026,"Cann, D",2021-10-27,
1021198,Lists/January1,46023,"Cann, D",2021-10-27,January Contreras 1
1021202,Lists/JointActionReproRite,JointActionReproRite,"Cann, D",2021-10-27,Joint Action Reproductive Rights list
